,name,latitude,longitude,population
138,Newcastle,-32.9272881,151.7812534,398770
139,Ankara,39.9207774,32.854067,4338620
140,Edirne,41.6759327,26.5587225,173037
141,Çanakkale,40.1535295,26.4139699,519793
142,Kırklareli,41.7370223,27.2235523,277984
143,Balıkesir,39.6473917,27.8879787,1196170
144,Aydin,37.8413007,27.8328374,1068260
145,Muğla,37.215154,28.3637726,923773
146,Afyonkarahisar,38.7568509,30.5386944,714523
147,Bilecik,40.1435101,29.9752911,51260
148,Burdur,37.7248394,30.2887286,261401
149,Düzce,40.8458611,31.164851,370371
150,Eskisehir,39.7666813,30.5255947,844842
151,Konya,37.8719963,32.4844015,2161303
152,Kütahya,39.4191505,29.9872928,573642
153,Manisa,38.6155029,27.4255716,1396945
154,Uşak,38.6795138,29.4054312,358736
155,Yalova,40.6557049,29.2707861,241665
156,Kaposvár,46.3564692,17.7886886,63186
157,Stockholm,59.3251172,18.0710935,829417
158,Gothenburg,57.7072326,11.9670171,522259
159,Tehran,35.6892523,51.3896004,8693706
160,Espoo,60.2241869,24.6603626,260842
161,Karlstad,59.3809146,13.5027631,62797
162,Coffs Harbour,-30.2962407,153.1135293,68486
163,Žilina,49.2234674,18.7393139,85558
164,Trenčín,48.8923583,18.0393715,56759
165,Prešov,48.997631,21.2401873,91498
166,Trnava,48.3767652,17.5858175,68038
167,Banská Bystrica,48.7384028,19.1573494,80466
168,Isfahan,32.6707877,51.6650002,1808968
169,Mashhad,36.2974945,59.6059232,3312090
170,Tabriz,38.0739964,46.2961952,1800000
171,Qazvin,36.2804074,50.006663,1000000
172,Qom,34.6423117,50.8800969,1075000
173,Shiraz,29.6060218,52.5378041,1713000
174,Harrisburg,40.2663107,-76.8861122,49528
175,Kyiv,50.4500336,30.5241361,2909697
176,Chernihiv,51.494099,31.294332,293969
177,Odesa,46.4873195,30.7392776,1008852
178,Lviv,49.841952,24.0315921,724822
179,Homel,52.4238936,31.0131698,535693
180,Minsk,53.902334,27.5618791,1982444
181,Niagara Falls,43.1065603,-79.0639039,93000
182,Târgu Mureș,46.5446244,24.5611947,134290
183,St. Catharines,43.1579812,-79.2441003,133113
184,Bonn,50.735851,7.10066,330224
185,Havana,23.135305,-82.3589631,2141993
186,Urmia,37.5493473,45.0682863,667499
187,Roodepoort,-26.1563889,27.8858333,325000
188,Gdansk,54.347629,18.6452324,461935
189,Gdynia,54.5164982,18.5402738,248042
190,McKinney,33.1976496,-96.6154471,172298
191,Adana,36.9936175,35.3258349,1636229
192,Hakkâri,37.574898,43.73766,267813
193,Van,38.5083601,43.3745322,1100190
194,Iğdır,39.9215668,44.0467724,192785
195,Antakya,36.2025861,36.1604022,365402
196,Kahramanmaraş,37.5812744,36.927509,1112634
197,Mersin,36.8117583,34.6292679,1773852
198,Osmaniye,37.073671,36.255941,522175
199,Aksaray,38.3705416,34.026907,195990
200,Karaman,37.1792447,33.2224781,245610
201,Kayseri,38.7225274,35.4874516,1389680
202,Kırıkkale,39.8485708,33.5276222,351684
203,Kırşehir,39.1461142,34.1605587,229975
204,Nevşehir,38.6223688,34.7136022,290895
205,Niğde,37.9712079,34.6775534,351468
206,Sivas,39.7503572,37.0145185,621224
207,Yozgat,39.8205571,34.8094917,79611
208,Amasya,40.6503248,35.8329148,326351
209,Artvin,41.1830811,41.8287448,168068
210,Bartın,41.6338394,32.3384354,192389
211,Bayburt,40.25569,40.224099,90154
212,Çorum,40.5491496,34.9602453,527863
213,Giresun,40.9148702,38.3879289,444467
214,Gümüşhane,40.4617844,39.4757339,172034
215,Karabük,41.1955402,32.6231154,242347
216,Kastamonu,41.3765359,33.7770087,110908
217,Ordu,40.9805304,37.8839101,750588
218,Rize,41.022809,40.519612,331048
219,Samsun,41.2889924,36.3294459,1295927
220,Sinop,42.0266698,35.1506765,205478
221,Tokat,40.32648,36.55403,602662
222,Zonguldak,41.4524668,31.7884596,126404
223,Ağrı,39.7201318,43.0500388,542255
224,Ardahan,41.1102966,42.7035585,98335
225,Bingöl,38.8851831,40.4965998,269560
226,Bitlis,38.4002185,42.1081317,341225
227,Elazığ,38.676303,39.221849,578789
228,Muş,38.7406274,41.4961566,406501
229,Erzincan,39.7496052,39.4941023,226032
230,Erzurum,39.9063215,41.2727638,762021
231,Kars,40.6076749,43.0948497,289786
232,Malatya,38.3483098,38.3178715,781305
233,Tunceli,39.1080631,39.548197,34461
234,Adiyaman,37.7640008,38.2764355,610484
235,Batman,37.8834399,41.1278202,576899
236,Diyarbakir,37.9167467,40.2227753,1732396
237,Gaziantep,37.0611756,37.3793085,1556381
238,Kilis,36.718045,37.11688,130825
239,Mardin,37.323983,40.7214269,796237
240,Şanlıurfa,37.1601999,38.7916052,1940627
241,Siirt,37.9273232,41.9422042,322664
242,Şırnak,37.519248,42.4605665,483788
243,Dallas,32.7762719,-96.7968559,1445632
244,Vitória da Conquista,-14.8567487,-40.8414804,346069
245,Pinar del Rio,22.4167422,-83.7002582,142967
246,Stoke-on-Trent,53.0162014,-2.1812607,249000
247,Almaty,43.2363924,76.9457275,1475400
248,Szczecin,53.4301818,14.5509623,402465
249,Zielona Góra,51.9383777,15.5050408,119182
250,Randers,56.4617545,10.0371476,62687
251,Kolding,55.4894999,9.47905,60508
252,Vejle,55.7000057,9.5333238,56567
253,Aarhus,56.1496278,10.2134046,273077
254,Odense,55.3997225,10.3852104,178210
255,Santander,43.4620412,-3.8099719,175736
256,Myitkyina,25.3833313,97.3999925,150000
257,Magway,20.1491458,94.9213518,289247
258,Pyin Oo Lwin,22.0333331,96.466667,255000
259,Loikaw,19.674167,97.2094441,17293
260,Yangon,16.7967129,96.1609916,4477638
261,Thaton,16.9136941,97.3689718,130763
262,Pyay,18.816667,95.216667,135308
263,Pathein,16.783333,94.733333,315600
264,Mogok,22.922696,96.505135,150000
265,Lashio,22.933333,97.75,131016
266,Shwebo,22.5666618,95.6999989,88914
267,Sagaing,21.8774215,95.9839956,300000
268,Dawei,14.0797232,98.1990191,146964
269,Bago,17.336667,96.479722,284179
270,Myingyan,21.4587531,95.3924129,141713
271,Sittwe,20.15,92.9,177743
272,Taungoo,18.9342565,96.4326678,106945
273,Mandalay,21.9812746,96.082375,1208099
274,Monywa,22.1182175,95.1324747,182011
275,Meiktila,20.8814233,95.8619463,177442
276,Hinthada,17.6457472,95.4609517,134947
277,Myeik,12.4319552,98.5955711,209712
278,Zahedan,29.4928874,60.8503017,672589
279,Saskatoon,52.131802,-106.660767,246376
280,Santa Clara,22.406572,-79.965149,216056
281,Clermont-Ferrand,45.7774551,3.0819427,143886
282,Dijon,47.3215806,5.0414701,156920
283,Toulouse,43.6044622,1.4442469,441802
284,Limoges,45.8354243,1.2644847,132000
285,Rennes,48.1113387,-1.6800198,215366
286,Nantes,47.2186371,-1.5541362,309346
287,Le Mans,48.0073796,0.1967599,142946
288,Strasbourg,48.584614,7.7507127,279284
289,Mulhouse,47.7467,7.3389275,109443
290,Angers,47.4739884,-0.5515588,149017
291,Lille,50.6365654,3.0635282,232741
292,Poitiers,46.5802596,0.340196,87435
293,Argenteuil,48.9479069,2.2481797,104282
294,Lancaster,54.0484068,-2.7990345,46000
295,Newport,51.5882332,-2.9974967,306844
296,Hull,53.7435722,-0.3394758,260700
297,Bradford,53.7944229,-1.7519186,293717
298,Jelgava,56.6514394,23.7339143,63534
299,Riga,56.9493977,24.1051846,698529
300,Regina,50.44876,-104.61731,215106
301,Oujda,34.677874,-1.929306,405000
302,Meknes,33.897877,-5.5320345,835695
303,El Jadida,33.2433309,-8.49884,194934
304,Tan-Tan,28.437553,-11.098664,60000
305,Eger,47.8989887,20.3743665,54480
306,Debrecen,47.531399,21.6259782,203059
307,Marseille,43.2961743,5.3699525,855393
308,Heilbronn,49.142291,9.218655,118122
309,Malmo,55.6052931,13.0001566,316588
310,Valmiera,57.5389148,25.4261688,26674
311,San Francisco,37.7790262,-122.4199061,881549
312,Salford,53.4877463,-2.2891921,229000
313,Truro,50.2627515,-5.0520467,20332
314,Ripon,54.1368788,-1.5213194,16000
315,Airdrie,51.28597,-114.01062,54891
316,Severodvinsk,64.563385,39.823769,183255
317,Petrozavodsk,61.790039,34.390007,280170
318,Bloemfontein,-29.116395,26.215496,370000
319,Vologda,59.218876,39.893276,311166
320,Deva,45.8817402,22.9008611,61123
321,Tver,56.858675,35.9208284,420850
322,Bilbao,43.2630018,-2.9350039,343430
323,Vitoria-Gasteiz,42.8465088,-2.6724025,242223
324,Veliky Novgorod,58.5209862,31.2757862,224297
325,Ann Arbor,42.2681569,-83.7312291,112920
326,Flint,43.0161693,-83.6900211,111475
327,Pushkin,59.722256,30.415731,111205
328,Pskov,57.817398,28.334368,210116
329,Dahab,28.4963633,34.5145652,12000
330,Kinshasa,-4.3217055,15.3125974,9046000
331,Kaliningrad,54.710128,20.5105838,453461
332,Velikiye Luki,56.342361,30.527922,96514
333,Smolensk,54.7814057,32.0461261,330049
334,Bryansk,53.2423778,34.3668288,406553
335,Hurghada,27.222556,33.8307062,160901
336,Kursk,51.739433,36.179604,443212
337,San Antonio,29.4246002,-98.4951405,1532233
338,Oryol,52.9685433,36.0692477,319550
339,Belgorod,50.5955595,36.5873394,384425
340,Poltava,49.5897423,34.5507948,297600
341,Zaporizhzhia,47.8507859,35.1182867,772258
342,Jēkabpils,56.4958638,25.8687747,2588
343,Eilat,29.5569348,34.9497949,47900
344,Marsa Alam,25.069992,34.893817,1918
345,El Qoseir,26.104836,34.279764,24344
346,Safaga,26.7633325,33.9383817,28261
347,Liepaja,56.5048435,21.0070903,78787
348,Poznań,52.4082663,16.9335199,548028
349,Angeles,15.1399659,120.5879182,411634
350,Brest,52.093751,23.6851851,347576
351,Olongapo,14.8314675,120.2835205,233040
352,Kaunas,54.8982139,23.9044817,315993
353,Vilnius,54.6870458,25.2829111,526356
354,Klaipėda,55.7127529,21.1350469,162360
355,Šiauliai,55.9340823,23.3157775,109328
356,Chichester,50.8364862,-0.7791721,23700
357,Yevpatoriya,45.1907635,33.3679049,105719
358,Basel,47.5581077,7.5878261,174491
359,Fort Worth,32.753177,-97.3327459,727577
360,Essen,51.4582235,7.0158171,569884
361,City of London,51.5156177,-0.0919983,7375
362,Westminster,51.4973206,-0.137149,233292
363,Frankfurt,50.1106444,8.6820917,701350
364,Gävle,60.6750132,17.1467019,100000
365,Iquitos,-3.749365,-73.2444145,465817
366,Bandar-e Anzali,37.4716356,49.4685904,139016
367,St Asaph,53.2575614,-3.4438607,3500
368,Saint Petersburg,59.938732,30.316229,5381736
369,Vladivostok,43.1150678,131.8855768,604901
370,Yekaterinburg,56.839104,60.60825,1468833
371,Samara,53.198627,50.113987,1156644
372,Omsk,54.991375,73.371529,1164815
373,Kazan,55.7823547,49.1242266,1251969
374,Chelyabinsk,55.1598408,61.4025547,1200719
375,Ufa,54.7261409,55.947499,1110976
376,Volgograd,48.7081906,44.5153353,1013468
377,Perm,58.014965,56.246723,1055397
378,Saratov,51.530018,46.034683,842097
379,Voronezh,51.6605982,39.2005858,1023570
